record_id,department,year,amount,status
R001,Finance,2023,37335.97,complete
R002,Health,2024,37087.09,pending
R003,Finance,2026,2557.35,complete
R004,Health,2024,25762.41,complete
R005,Health,2026,11801.59,pending
R006,Planning,2023,38181.56,complete
R007,Operations,2025,14615.7,complete
R008,Planning,2023,,complete
R009,Planning,2025,30582.58,complete
R010,Operations,2023,48682.67,complete
R011,Finance,2025,41640.83,pending
R012,Planning,2024,35524.02,complete
R013,Health,2025,49275.85,complete
R014,Finance,2026,14620.71,pending
R015,Planning,2024,19138.87,complete
R016,Planning,2023,30847.42,complete
R017,Health,2024,23650.75,complete
R018,Health,2025,42299.74,complete
R019,,2023,40447.24,complete
R020,Planning,2023,11338.16,pending
R021,Planning,2024,33116.49,complete
R022,Operations,2024,13979.13,complete
R023,Planning,2026,44993.32,complete
R024,Planning,2024,49868.96,complete
R025,Operations,2023,38033.33,complete
R026,Health,2024,39811.89,complete
R027,Finance,2026,19699.35,complete
R028,Planning,2023,34333.89,complete
R029,Planning,2025,6466.06,complete
R030,Health,2026,1159.02,pending
R031,Planning,2024,25876.4,complete
R032,Planning,2024,8489.12,complete
R033,Finance,2025,24941.68,complete
R034,Planning,2025,999999.0,complete
R035,Finance,2023,36863.47,complete
R036,Health,2024,33327.79,pending
R037,Health,2025,26856.02,pending
R038,Operations,2024,46516.76,pending
R039,Health,2025,20550.62,pending
R040,Planning,2026,45081.09,complete
R041,Finance,2024,12010.17,complete
R042,Finance,2024,29833.57,complete
R043,Finance,2023,12218.15,complete
R044,Planning,2023,26193.65,complete
R045,Operations,2024,27422.46,pending
R046,Operations,2024,39446.35,complete
R047,Health,2023,5749.61,complete
R048,Planning,2026,21144.01,pending
R049,Finance,2023,3970.02,pending
R050,Planning,2023,13184.16,complete
R051,Operations,2024,21672.2,complete
R052,Operations,2024,43849.81,complete
R053,Operations,2023,3478.83,pending
R054,Finance,2023,46391.98,complete
R055,Health,2026,24796.42,complete
R056,Operations,2023,9067.22,complete
R057,Operations,2025,46399.39,complete
R058,Planning,2026,35132.98,pending
R059,Operations,2024,10305.0,complete
R060,Finance,2023,37650.8,complete
R061,Finance,2026,25639.67,pending
R062,Health,2023,48078.17,complete
R063,Health,2023,30156.72,pending
R064,Health,2026,6874.44,pending
R065,Health,2023,31349.69,complete
R066,Planning,2025,11008.7,pending
R067,Planning,2024,14015.11,complete
R068,Planning,2026,16492.68,complete
R069,Finance,2026,31436.8,pending
R070,Finance,2023,27344.09,pending
R071,Planning,2024,46729.71,complete
R072,Health,2025,14964.38,complete
R073,Planning,2023,33725.3,pending
R074,Planning,2023,47007.57,complete
R075,Planning,2023,44595.92,pending
R076,Health,2025,14806.06,complete
R077,Planning,2024,34687.36,complete
R078,Operations,2025,45361.49,complete
R079,Finance,2026,41638.06,complete
R080,Finance,2025,38784.84,pending
